Indicator,Disaggregations,Number of disaggregations
#1-1,Region,1
#1-1-1,Group,1
#1-2-1,data.group,1
#1-2-a,Region,1
#1-2-b,Region,1
#1-2-c,Region,1
#10-1-1,Group,1
#10-2-1,Group,1
#10-4-1,Region,1
#11-1-1,fLotte,1
#11-2-1,"Ortsteil, District",2
#11-4-1,"data.maintransport, data.spatialtypes",2
#11-5-1,data.area,1
#11-5-2,data.gruen,1
#11-8,Region,1
#12-2-2,Status,1
#12-4-1,Status,1
#13-1-2,data.antworten,1
#13-2-2,fLotte,1
#13-3-1,data.esek,1
#14-1-1,data.redlistcat,1
#14-2-1,Group,1
#14-3-1,Group,1
#15-1-1,data.antworten,1
#15-3-1,data.area,1
#15-4-1,Group,1
#16-3-1,data.incident,1
#16-4-1,data.bezirk,1
#17-1-1,data.partner,1
#17-4-1,data.einewelt,1
#17-5-1,Group,1
#17-6-1,Group,1
#2-1,Gruppe,1
#2-1-1,"Ortsteil, District",2
#2-2,Region,1
#3-2-1,data.noise,1
#3-3-1,data.air,1
#3-3-2,data.luftg,1
#4-3-1,Group,1
#5-1-1,Group,1
#5-5-1,data.sex,1
#6-1-1,data.zustand,1
#6-3-1,data.kat,1
#7-1-1,Group,1
#7-3-1,data.pow,1
#8-2-1,Group,1
#8-2-2,Group,1
#8-3-1,Group,1
#8-3-2,Group,1
#8-5-1,data.sex,1
#9-1-1,data.standort,1
#9-2-1,data.zug,1
#9-3-1,data.availability,1
