Year,timeseries,legislation,Value
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,convention on biological diversity,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,cartagena protocol,1
